src,dest
CAB39L,PRKAG2
CAB39L,PRKAG3
CAB39L,STRADA
CACYBP,SKP1
CALM1,ADCY1
CALM1,ADCY2
CALM1,ADCY3
CALM1,ADCY4
CALM1,ADCY5
CALM1,ADCY6
CALM1,ADCY7
CALM1,ADCY8
CALM1,ADCY9
CALM1,CALM2
CALM1,CALM3
CALM1,CALML3
CALM1,CALML4
CALM1,CAMK1
CALM1,CAMK1D
CALM1,CAMK1G
CALM1,CAMK2A
CALM1,CAMK2B
CALM1,CAMK2D
CALM1,CAMK2G
CALM1,CAMK4
CALM1,CAMKK2
CALM1,MYLK
CALM1,MYLK2
CALM1,MYLK3
CALM1,MYLK4
CALM1,NOS1
CALM1,NOS2
CALM1,NOS3
CALM1,PDE1A
CALM1,PDE1B
CALM1,PDE1C
CALM1,PPP3CA
CALM1,PPP3CB
CALM1,PPP3CC
CALM1,PPP3R1
CALM1,PPP3R2
CALM1,PYGB
CALM1,PYGL
CALM1,PYGM
CALM1,RASGRF1
CALM1,RASGRF2
CALM2,ADCY1
CALM2,ADCY2
CALM2,ADCY3
CALM2,ADCY4
CALM2,ADCY5
CALM2,ADCY6
CALM2,ADCY7
CALM2,ADCY8
CALM2,ADCY9
CALM2,CALM3
CALM2,CALML3
CALM2,CALML4
CALM2,CAMK1
CALM2,CAMK1D
CALM2,CAMK1G
CALM2,CAMK2A
CALM2,CAMK2B
CALM2,CAMK2D
CALM2,CAMK2G
CALM2,CAMK4
CALM2,CAMKK2
CALM2,MYLK
CALM2,MYLK2
CALM2,MYLK3
CALM2,MYLK4
CALM2,NOS1
CALM2,NOS2
CALM2,NOS3
CALM2,PDE1A
CALM2,PDE1B
CALM2,PDE1C
CALM2,PPP3CA
CALM2,PPP3CB
CALM2,PPP3CC
CALM2,PPP3R1
CALM2,PPP3R2
CALM2,PYGB
CALM2,PYGL
CALM2,PYGM
CALM2,RASGRF1
CALM2,RASGRF2
CALM3,ADCY1
CALM3,ADCY2
CALM3,ADCY3
CALM3,ADCY4
CALM3,ADCY5
CALM3,ADCY6
CALM3,ADCY7
CALM3,ADCY8
CALM3,ADCY9
CALM3,CALML3
CALM3,CALML4
CALM3,CAMK1
CALM3,CAMK1D
CALM3,CAMK1G
CALM3,CAMK2A
CALM3,CAMK2B
CALM3,CAMK2D
CALM3,CAMK2G
CALM3,CAMK4
CALM3,CAMKK2
CALM3,MYLK
CALM3,MYLK2
CALM3,MYLK3
CALM3,MYLK4
CALM3,NOS1
CALM3,NOS2
CALM3,NOS3
CALM3,PDE1A
CALM3,PDE1B
CALM3,PDE1C
CALM3,PPP3CA
CALM3,PPP3CB
CALM3,PPP3CC
CALM3,PPP3R1
CALM3,PPP3R2
CALM3,PYGB
CALM3,PYGL
CALM3,PYGM
